Date,Open,High,Low,Close,Volume,Market Cap
Dec-11-2021,0.5105629756847373,0.5460598764528631,0.5062784030031652,0.5314166214932055,188463592.6419458,13170381914.434055
Dec-10-2021,0.4837676086693926,0.5131013096555869,0.47859400342862396,0.5104451991608441,222486398.44305655,12591065670.667505
Dec-09-2021,0.5005754379072469,0.5258127842074429,0.48467793687406474,0.48467793687406474,255033735.57640198,12782248480.636894
Dec-08-2021,0.5382811628818344,0.5476553280065812,0.4965504262588972,0.50393480837883,261578292.33416244,13294676148.559652
Dec-07-2021,0.5360314493293565,0.5511785614818984,0.5206978313977596,0.5387785580969008,415560964.6420197,13627427224.249634
Dec-06-2021,0.5269167528839342,0.5772804701402134,0.5269167528839342,0.5356938115539048,529547581.5417919,13953945907.177143
Dec-05-2021,0.4976277188346765,0.528669990069915,0.4529954979854258,0.5258044712669183,338814700.89004666,12267581458.627188
Dec-04-2021,0.5365130880938845,0.5417513964339914,0.47985103956849756,0.49598176191945675,458632705.33654904,13060744158.077208
Dec-03-2021,0.5632925367623953,0.5679032097907982,0.445638206851002,0.5328967712877236,621493301.5770906,12953853977.772017
Dec-02-2021,0.6111117443441558,0.6195123189507719,0.5318986333561854,0.5643248290924937,351695483.022035,14958524995.335627
Dec-01-2021,0.6338696931075519,0.6366522044414423,0.6058791247618938,0.6098221405840659,493277171.3026619,15680627880.433224
Nov-30-2021,0.6090308214197265,0.6786710887606279,0.6065531950577179,0.634252442939546,557396411.4581678,16182629766.50515
Nov-29-2021,0.6294590484132857,0.6328601833691733,0.5906148074518952,0.609217065493065,546771902.1266787,15507207592.799553
Nov-28-2021,0.6637846343990949,0.6796579178420138,0.6303552582941963,0.6317304216796005,683380632.8941422,16629155299.855598
Nov-27-2021,0.6852841610285169,0.6852841610285169,0.6122727221325389,0.6632143153963121,986351969.0166522,16380741729.345123
Nov-26-2021,0.6056426946539248,0.720899746145766,0.6056426946539248,0.6805855844893894,1052757723.5494574,16898084793.90565
Nov-25-2021,0.714796678606447,0.714796678606447,0.5682213383308152,0.6071577443761953,1229969620.2800095,15954950234.18259
Nov-24-2021,0.7820688067750631,0.7986337678295304,0.6702948819330306,0.7152290536338729,1633384182.9875927,18341004195.50981
Nov-23-2021,0.7854154548215073,0.8481424737895331,0.7372110629577033,0.781658335489668,1866914927.7512097,20111476679.97172
