Date,Open,High,Low,Close,Volume,Market Cap
Dec-11-2021,43551.76533530426,44756.198999165004,43053.04976010969,44285.63631460576,41308627827.90992,827587505936.763
Dec-10-2021,41646.20659976884,43696.29485552668,41520.68666296714,43551.65845236137,55926497187.4557,809043192758.8708
Dec-09-2021,42096.01047013209,44127.17312765554,41612.90926024764,41612.90926024764,86914466131.69211,805400299612.8073
Dec-08-2021,44588.76787895291,44839.45716998737,41868.962052743016,42269.16033698495,120092331073.9509,818970439676.7941
Dec-07-2021,44702.71158438439,45101.27021465089,43048.21530190621,44598.64568812774,113200053807.31274,839401392360.1002
Dec-06-2021,44642.233660667414,45859.74501535776,44327.98645064518,44677.05210115745,133361508885.7392,850739077378.1184
Dec-05-2021,43624.22946143596,44949.46690582226,41732.17710565107,44582.589876615326,146133119385.95697,814460823550.7186
Dec-04-2021,43493.05454970966,43858.7295141714,42220.95299361302,43491.16920390642,120966043058.26051,818966524555.4271
Dec-03-2021,47317.667777703165,47534.40101230388,39453.294847641904,43311.082744090745,146857410253.66116,817529823090.8339
Dec-02-2021,49916.496116162714,50694.19148750187,46545.029571029525,47459.4117044101,101562261198.4349,932073932116.0173
Dec-01-2021,50536.5336898547,50675.03671697836,49397.85824407977,49842.59533704026,117985760704.96819,945680069721.6604
Nov-30-2021,50341.27011455387,52098.66596092875,49967.47794155795,50520.71396760204,112779860380.92569,957245993523.5516
Nov-29-2021,51046.08599085877,52130.45518328568,49536.30279337903,50394.39349499629,98720314599.66359,956465248652.4689
Nov-28-2021,50556.02764743473,51936.0547541876,50186.714925473374,51142.28298413746,92189364754.96913,960375064523.0593
Nov-27-2021,48440.77933245294,50646.135939935964,47389.65136664558,50507.97961640802,63974130803.83039,910789726034.3947
Nov-26-2021,47327.426912196024,48780.50184010674,47327.426912196024,48147.57070147726,75711746088.29933,911773905699.5784
Nov-25-2021,52058.71474233708,52241.110129391825,47416.56955020504,47419.580863434814,80295420143.41759,928746760912.7767
Nov-24-2021,50538.44404228773,52429.21472223499,50377.6245578463,52052.929246425745,75237790780.3215,971542726179.1548
Nov-23-2021,50837.12102101111,50980.882514076475,49457.96017836748,50459.19556480831,81361672500.68826,946633978222.5203
Nov-22-2021,49712.01912727184,51102.80389146333,49287.992108762846,50962.050041390605,70933395642.49054,949350562271.7
Nov-21-2021,51880.49704076449,52188.96115142497,49209.27659506785,49810.656495321986,57340720307.873344,956479838793.8997
Nov-20-2021,52726.87233470074,52881.74383408247,51732.96060496647,51853.262161474995,48067469506.58434,986222637238.451
Nov-19-2021,51312.16460945488,52855.56432253339,50797.559902304194,52855.56432253339,54495490366.893394,978383407186.7235
Nov-18-2021,50332.33899668915,51507.11705470471,49177.55399955465,51292.85161692453,87104532380.09624,953789634415.054
Nov-17-2021,53325.85148045908,53781.04784408259,49963.20837412829,50146.21817552021,76569991011.95435,984157251532.7998
Nov-16-2021,53116.53170599173,53667.29178669514,51921.52471202005,53318.197876424,85332733843.33405,998438952927.9309
Nov-15-2021,56208.66608463907,56208.66608463907,52050.595046638795,53186.59978651134,91177616534.925,1013792306184.464
Nov-14-2021,57878.52884277156,58553.15972412416,56146.452931809356,56302.130446952295,82103171253.27107,1085624993090.7983
Nov-13-2021,56893.65357222386,57662.305166432794,56219.7613981387,57662.305166432794,52355833345.0927,1074927563654.7368
Nov-12-2021,56706.81249894325,57304.35649185464,56034.465525046915,56969.52450859476,57736903555.93954,1067726648305.0481
Nov-11-2021,57237.46416913128,57772.68564500794,55169.507843427695,56831.95864902077,63514721228.02326,1069979568926.8384
Nov-10-2021,57378.26000954516,57949.049959816635,56729.11098423977,57260.52422779446,89105775829.83116,1082170665584.586
Nov-09-2021,59141.884357012794,60768.236994104795,55976.71170900506,57323.166843985695,72914694531.72896,1114862917788.3728
Nov-08-2021,59655.69599743674,60508.85604736885,58637.7493204769,59127.64466154625,77611406243.91417,1125337706478.8857
Nov-07-2021,55915.50199850563,59796.24062010683,55915.50199850563,59646.06895928597,65608227690.4628,1096351753581.0178
Nov-06-2021,54303.574822491,55828.81768350005,54196.6780935488,55828.81768350005,45651713735.10518,1034932839337.3032
Nov-05-2021,53865.82886057467,54366.66379883209,53091.831230847,54270.222644974616,59870344094.56025,1015719255458.0227
Nov-04-2021,54272.83926023792,55210.11660481279,53699.12315892535,53925.34434938133,68977808894.65419,1024861496661.5413
Nov-03-2021,55587.19472874531,55712.335523751404,53672.57230270068,54227.47661960933,80468178439.76546,1030254489643.8497
Nov-02-2021,55817.596776546685,56063.349707314155,54479.02271318276,55617.93480734914,68993494364.1113,1046865165489.6793
Nov-01-2021,53848.7691312931,56615.63635268041,53621.020182430046,55824.73462877894,65437358124.72546,1041590848233.7703
Oct-31-2021,54158.68283854059,55111.40789461707,52731.17960614591,53959.818063668936,67327146221.27811,1020805853524.396
Oct-30-2021,54658.70254269356,55120.96836903849,53137.7902276413,54202.77150058251,66194172909.32505,1017894463982.7699
Oct-29-2021,54984.83041911443,54984.83041911443,53778.396137101954,54486.69703375073,73105260114.10413,1026553224950.6458
Oct-28-2021,53548.59480407374,55621.43278251883,53319.78741204526,54980.660245320156,76689750167.2053,1025909313624.7865
Oct-27-2021,51638.439889155554,54733.07315874862,51463.32483855804,53406.40472307076,88076740877.93483,1003199390733.9873
Oct-26-2021,53312.09913438122,54295.69286243972,51516.49498275377,51853.19402373118,74613924277.50229,991024622588.3477
Oct-25-2021,55733.92502344288,55908.74847026052,53068.14715519283,53369.07021090843,75127021134.82816,1038180625110.39
Oct-24-2021,53799.65027320889,56272.99465571419,53650.48131428888,55660.4051862742,109869682465.06363,1043006102706.8687
Oct-23-2021,54193.9650571365,54264.663737677576,52712.205343731956,53769.467938518304,69520539260.74641,1011338062648.5251
Oct-22-2021,53628.67756690084,54542.01641327384,53133.59154126989,54113.21102506371,87522042742.50464,1017641582979.7646
Oct-21-2021,54960.04544208902,56249.63821849,53157.38995652028,53631.95826942371,93269962055.09941,1035741760074.8517
Oct-20-2021,58286.16119857714,58855.68763242226,54849.78147535737,55049.40725765881,101254956381.31213,1071578475902.4302
Oct-19-2021,56776.6094712621,59143.33456919342,56236.23316214182,58308.476045428324,86585142524.10684,1081742435257.9987
Oct-18-2021,54803.68285622387,56932.346802441694,54552.5580643223,56745.114237644,75115798933.32355,1044628309784.885
Oct-17-2021,54382.40688822881,55270.244933808615,53278.48253387013,54744.67347544704,87338245322.77977,1029158215576.7622
Oct-16-2021,53785.61959251836,54416.8574331269,52471.9368688201,54416.8574331269,87505437912.6181,1013144714157.5579
Oct-15-2021,54519.16468959573,55085.87820188818,53210.68878807442,53779.43142477702,106630366487.51305,1020391968376.4728
Oct-14-2021,50643.80952828391,55283.50640480725,50276.591483864635,54367.446277017356,76098324798.9141,997054258316.0691
Oct-13-2021,50708.76151831444,51598.26938098891,50307.05271161681,50678.585050909984,65934185775.881096,959612175272.4434
